,GEOID,east,north,south,west,lon,lat
172,510594158002,-77.0651,38.7326,38.718,-77.0822,-77.07365,38.725300000000004
173,510594160001,-77.0891,38.7391,38.7228,-77.1035,-77.0963,38.73095
174,510594162002,-77.1257,38.7141,38.687,-77.1513,-77.1385,38.70055
175,510594201001,-77.1693,38.7904,38.7778,-77.1811,-77.1752,38.784099999999995
176,510594202013,-77.1361,38.7886,38.7832,-77.1433,-77.1397,38.7859
177,510594202022,-77.1366,38.7919,38.7882,-77.1393,-77.13795,38.79005
178,510594203003,-77.0874,38.803,38.7971,-77.112,-77.0997,38.80005
179,510594205021,-77.0656,38.7948,38.7894,-77.0739,-77.06975,38.792100000000005
180,510594205031,-77.0748,38.7985,38.7928,-77.0806,-77.0777,38.795649999999995
181,510594207001,-77.0905,38.7925,38.7823,-77.1213,-77.1059,38.7874
182,510594210022,-77.1565,38.78,38.7674,-77.1719,-77.1642,38.773700000000005
183,510594211013,-77.169,38.7518,38.7394,-77.1851,-77.17705000000001,38.7456
184,510594211033,-77.165,38.7518,38.7409,-77.1712,-77.16810000000001,38.74635000000001
185,510594214001,-77.0786,38.7815,38.7682,-77.0938,-77.08619999999999,38.77485
186,510594214004,-77.0839,38.7631,38.7591,-77.0898,-77.08685,38.7611
187,510594215003,-77.0873,38.7455,38.7395,-77.0956,-77.09145000000001,38.7425
188,510594217011,-77.1062,38.7365,38.7271,-77.1145,-77.11035000000001,38.7318
189,510594218001,-77.1256,38.7275,38.7141,-77.1403,-77.13295,38.7208
190,510594219001,-77.1224,38.741,38.7233,-77.1401,-77.13125,38.732150000000004
191,510594221011,-77.1971,38.7171,38.7076,-77.2133,-77.2052,38.71235
192,510594221023,-77.2145,38.7013,38.696,-77.2188,-77.21665,38.69865
193,510594222021,-77.2277,38.7148,38.7046,-77.2344,-77.23105,38.7097
194,510594223011,-77.1191,38.7864,38.7789,-77.1361,-77.1276,38.782650000000004
195,510594224022,-77.1342,38.7601,38.7519,-77.1437,-77.13895,38.756
196,510594302012,-77.2877,38.8119,38.799,-77.3046,-77.29615,38.80545
197,510594302023,-77.2774,38.8145,38.8001,-77.2897,-77.28354999999999,38.8073
198,510594305001,-77.1939,38.8035,38.7928,-77.2188,-77.20635,38.79815
199,510594306004,-77.1746,38.7951,38.7789,-77.1866,-77.1806,38.787
200,510594308022,-77.2233,38.7937,38.7894,-77.235,-77.22915,38.79155
201,510594309011,-77.2332,38.7885,38.7752,-77.2519,-77.24255,38.78185
202,510594310011,-77.2654,38.7885,38.776,-77.2797,-77.27255,38.782250000000005
203,510594313002,-77.2333,38.7698,38.7558,-77.2538,-77.24355,38.7628
204,510594314003,-77.2173,38.7665,38.7576,-77.2276,-77.22245,38.76205
205,510594316002,-77.183,38.7696,38.7576,-77.1963,-77.18965,38.7636
206,510594318021,-77.2549,38.8115,38.8005,-77.2804,-77.26765,38.806
207,510594318022,-77.2661,38.8173,38.8102,-77.2774,-77.27175,38.81375
208,510594319001,-77.2484,38.8079,38.7979,-77.2659,-77.25715,38.802899999999994
209,510594319002,-77.2478,38.8,38.7938,-77.2695,-77.25864999999999,38.796899999999994
210,510594320001,-77.3124,38.7988,38.7859,-77.3272,-77.3198,38.79235
211,510594320002,-77.3061,38.8007,38.7945,-77.3255,-77.3158,38.7976
212,510594322022,-77.2727,38.7972,38.7838,-77.2909,-77.2818,38.790499999999994
213,510594324012,-77.2728,38.7769,38.7661,-77.288,-77.2804,38.7715
214,510594324023,-77.2636,38.7769,38.7611,-77.2756,-77.2696,38.769
215,510594327021,-77.2082,38.7345,38.7178,-77.2212,-77.2147,38.72615
216,510594401001,-77.2402,38.8654,38.8535,-77.2699,-77.25505000000001,38.859449999999995
217,510594402021,-77.2262,38.8628,38.8596,-77.2321,-77.22915,38.8612
218,510594402024,-77.2285,38.8567,38.8539,-77.2331,-77.23079999999999,38.8553
219,510594405012,-77.2621,38.8287,38.8115,-77.2822,-77.27215000000001,38.8201
220,510594405023,-77.3066,38.8467,38.8428,-77.3165,-77.31155000000001,38.84475
221,510594501001,-77.2117,38.8759,38.8659,-77.2204,-77.21605,38.870900000000006
222,510594501003,-77.2016,38.8757,38.8668,-77.2072,-77.20439999999999,38.87125
223,510594503001,-77.1774,38.8795,38.8731,-77.1845,-77.18095,38.8763
224,510594504001,-77.1558,38.8724,38.8613,-77.1747,-77.16525,38.86685
225,510594505002,-77.1751,38.8661,38.8571,-77.1867,-77.18090000000001,38.8616
226,510594506014,-77.1966,38.8554,38.8463,-77.21,-77.2033,38.85085
227,510594507011,-77.2031,38.8538,38.8328,-77.2199,-77.2115,38.8433
228,510594508003,-77.1863,38.8417,38.8305,-77.1998,-77.19305,38.8361
229,510594510001,-77.1821,38.8497,38.8394,-77.1941,-77.1881,38.84455
230,510594512002,-77.1493,38.8552,38.8431,-77.1679,-77.1586,38.84915
231,510594514001,-77.1452,38.8762,38.8686,-77.1552,-77.1502,38.8724
232,510594515014,-77.1369,38.8661,38.8561,-77.1476,-77.14224999999999,38.8611
233,510594516012,-77.1378,38.8528,38.8498,-77.1421,-77.13995,38.8513
234,510594516022,-77.142,38.8618,38.8543,-77.1518,-77.14689999999999,38.858050000000006
235,510594519002,-77.1523,38.8361,38.8227,-77.1741,-77.16319999999999,38.8294
236,510594521011,-77.1634,38.8253,38.8119,-77.1771,-77.17025,38.8186
237,510594522001,-77.2038,38.8328,38.8242,-77.2132,-77.2085,38.8285
238,510594523022,-77.2152,38.8223,38.8159,-77.2221,-77.21865,38.8191
239,510594524005,-77.1843,38.8119,38.7987,-77.1946,-77.18945,38.8053
240,510594525013,-77.1558,38.8227,38.8064,-77.1693,-77.16255000000001,38.81455
241,510594525023,-77.1411,38.819,38.8134,-77.1491,-77.1451,38.8162
242,510594527001,-77.1244,38.8505,38.8407,-77.1362,-77.1303,38.8456
243,510594528012,-77.1149,38.8483,38.842,-77.1257,-77.1203,38.845150000000004
244,510594528022,-77.1107,38.8449,38.8419,-77.116,-77.11335,38.8434
245,510594601003,-77.2469,38.9499,38.9327,-77.2675,-77.2572,38.9413
246,510594603002,-77.2666,38.9269,38.9103,-77.286,-77.27629999999999,38.9186
247,510594604001,-77.251,38.9368,38.9145,-77.2715,-77.26125,38.92565
248,510594604002,-77.2375,38.9294,38.915,-77.2581,-77.2478,38.922200000000004
249,510594604003,-77.2315,38.9343,38.9164,-77.2527,-77.2421,38.92535
250,510594605022,-77.2238,38.9017,38.8924,-77.2428,-77.2333,38.89705
251,510594606001,-77.225,38.897,38.8864,-77.2471,-77.23605,38.8917
252,510594607022,-77.2575,38.8943,38.8824,-77.2739,-77.2657,38.88835
253,510594610001,-77.2639,38.9103,38.8933,-77.2845,-77.27420000000001,38.9018
254,510594612022,-77.3333,38.8613,38.8533,-77.348,-77.34065,38.857299999999995
255,510594615003,-77.2796,38.8856,38.8755,-77.2896,-77.2846,38.88055
256,510594616011,-77.246,38.8797,38.8723,-77.2673,-77.25665000000001,38.876000000000005
257,510594616021,-77.2269,38.8835,38.8732,-77.2429,-77.23490000000001,38.87835
258,510594617002,-77.2543,38.8726,38.8651,-77.2645,-77.2594,38.868849999999995
259,510594618022,-77.2978,38.8752,38.8689,-77.3091,-77.30345,38.87205
260,510594701001,-77.1718,38.9684,38.9521,-77.1938,-77.1828,38.96025
261,510594704003,-77.1561,38.9346,38.924,-77.1693,-77.1627,38.9293
262,510594705001,-77.1811,38.9546,38.9415,-77.2025,-77.1918,38.948049999999995
263,510594706001,-77.1853,38.9455,38.9315,-77.2078,-77.19655,38.938500000000005
264,510594707004,-77.1712,38.9266,38.9154,-77.1828,-77.17699999999999,38.921
265,510594709002,-77.1598,38.9142,38.9043,-77.1729,-77.16635,38.90925
266,510594709004,-77.1719,38.9118,38.9017,-77.1834,-77.17765,38.90675
267,510594711003,-77.1978,38.9144,38.9062,-77.209,-77.2034,38.9103
268,510594712022,-77.1962,38.929,38.9184,-77.2092,-77.2027,38.9237
269,510594713031,-77.1971,38.9007,38.8875,-77.2192,-77.20815,38.8941
270,510594714011,-77.1913,38.8917,38.8819,-77.2081,-77.1997,38.8868
271,510594802011,-77.1938,38.9623,38.9455,-77.227,-77.21039999999999,38.953900000000004
272,510594802012,-77.2078,38.9418,38.9315,-77.233,-77.22040000000001,38.93665
273,510594802031,-77.2312,38.9319,38.9238,-77.2412,-77.2362,38.92785
274,510594804012,-77.2868,38.9991,38.9674,-77.3151,-77.30095,38.98325
275,510594805011,-77.3426,39.003,38.9873,-77.3579,-77.35025,38.995149999999995
276,510594805022,-77.3767,38.9943,38.9852,-77.3893,-77.38300000000001,38.98975
277,510594805051,-77.3575,38.9752,38.9661,-77.3653,-77.3614,38.97065
278,510594805053,-77.3516,38.9741,38.9661,-77.3601,-77.35585,38.9701
279,510594808022,-77.3697,38.9791,38.9608,-77.3817,-77.3757,38.96995
280,510594809013,-77.3974,38.9766,38.9602,-77.4136,-77.4055,38.9684
281,510594809022,-77.3878,38.9687,38.9632,-77.3974,-77.3926,38.96595
282,510594811021,-77.3949,38.9515,38.9449,-77.4056,-77.40025,38.9482
283,510594811032,-77.4059,38.9504,38.9449,-77.4131,-77.40950000000001,38.947649999999996
284,510594811043,-77.4097,38.9479,38.9453,-77.4135,-77.41159999999999,38.946600000000004
285,510594811051,-77.3904,38.9374,38.921,-77.4041,-77.39725,38.929199999999994
286,510594811052,-77.3932,38.9459,38.9325,-77.4139,-77.40355,38.9392
287,510594811053,-77.3844,38.9451,38.9292,-77.3955,-77.38995,38.93715
288,510594811061,-77.3725,38.9331,38.9206,-77.3846,-77.37855,38.92685
289,510594811062,-77.3783,38.9399,38.9236,-77.3943,-77.3863,38.93175
290,510594812022,-77.3613,38.9431,38.9351,-77.3678,-77.36455000000001,38.939099999999996
291,510594814003,-77.3443,38.9346,38.9261,-77.3588,-77.35155,38.930350000000004
292,510594817011,-77.3575,38.925,38.8958,-77.3828,-77.37015,38.910399999999996
293,510594817023,-77.3565,38.874,38.8657,-77.3673,-77.36189999999999,38.86985
294,510594820011,-77.3197,38.9747,38.9625,-77.3338,-77.32675,38.968599999999995
295,510594820013,-77.3363,38.9991,38.9866,-77.3456,-77.34094999999999,38.992850000000004
296,510594821001,-77.3334,38.9735,38.9693,-77.3415,-77.33744999999999,38.9714
297,510594822023,-77.3516,38.9602,38.955,-77.3555,-77.35355000000001,38.9576
298,510594822033,-77.3617,38.9605,38.9572,-77.3631,-77.36240000000001,38.95885
299,510594823012,-77.3451,38.9489,38.9339,-77.3613,-77.3532,38.9414
300,510594823032,-77.3329,38.9384,38.9311,-77.3465,-77.3397,38.93475
301,510594825012,-77.4193,38.9626,38.9446,-77.4293,-77.4243,38.9536
302,510594825015,-77.4163,38.9534,38.9479,-77.4261,-77.4212,38.950649999999996
303,510594825032,-77.3969,38.9253,38.9162,-77.4071,-77.402,38.92075
304,510594825043,-77.3935,38.9162,38.9046,-77.4058,-77.39965000000001,38.9104
305,510594826022,-77.3776,38.8994,38.8815,-77.3965,-77.38705,38.89045
306,510594901034,-77.4484,38.8691,38.8586,-77.4604,-77.4544,38.86385
307,510594905011,-77.4154,38.8391,38.8345,-77.4273,-77.42135,38.8368
308,510594905022,-77.3668,38.8451,38.8267,-77.3944,-77.3806,38.8359
309,510594911022,-77.4527,38.8602,38.8456,-77.4781,-77.46539999999999,38.8529
310,510594911034,-77.4501,38.8581,38.8502,-77.4575,-77.4538,38.854150000000004
311,510594912014,-77.4381,38.8501,38.8444,-77.4491,-77.4436,38.84725
312,510594913013,-77.4432,38.8202,38.81,-77.4536,-77.44839999999999,38.8151
