,GEOID,east,north,south,west,lon,lat
223,51510200103,-77.1282,38.8308,38.8134,-77.1437,-77.13595000000001,38.822100000000006
224,51510200107,-77.098,38.8419,38.8321,-77.1111,-77.10454999999999,38.837
225,51510200301,-77.1087,38.8301,38.8219,-77.1244,-77.11654999999999,38.826
226,51510200405,-77.1206,38.8143,38.8006,-77.1425,-77.13155,38.80745
227,51510200500,-77.1024,38.8216,38.8116,-77.116,-77.1092,38.816599999999994
228,51510200600,-77.0873,38.8163,38.8016,-77.1134,-77.10034999999999,38.808949999999996
229,51510200701,-77.0729,38.8083,38.8003,-77.0912,-77.08205000000001,38.8043
230,51510200702,-77.0579,38.8063,38.7944,-77.0779,-77.06790000000001,38.80035
231,51510200900,-77.0652,38.8339,38.8178,-77.088,-77.0766,38.82585
232,51510201204,-77.0512,38.8376,38.8308,-77.0618,-77.0565,38.8342
233,51510201600,-77.0469,38.8203,38.8063,-77.06,-77.05345,38.8133
234,51510202001,-77.0387,38.8039,38.7947,-77.0496,-77.04415,38.7993
235,51540000302,-78.4526,38.0383,38.0211,-78.4767,-78.46465,38.0297
236,51540000800,-78.4643,38.0706,38.0453,-78.5038,-78.48405,38.05795
237,51550020100,-76.2417,36.8225,36.8005,-76.2606,-76.25115,36.811499999999995
238,51550020600,-76.2664,36.8115,36.7766,-76.2856,-76.27600000000001,36.79405
239,51550020806,-76.2037,36.7942,36.763,-76.2335,-76.21860000000001,36.7786
240,51550020905,-76.2544,36.7831,36.7626,-76.2779,-76.26615000000001,36.77285
241,51550021010,-76.238,36.7164,36.6963,-76.2738,-76.2559,36.70635
242,51550021101,-76.1845,36.7232,36.698,-76.2401,-76.2123,36.7106
243,51550021402,-76.2953,36.7751,36.7458,-76.3462,-76.32075,36.760450000000006
244,51550021602,-76.3985,36.8665,36.8416,-76.4411,-76.41980000000001,36.85405
245,51570830300,-77.4117,37.2831,37.2624,-77.4318,-77.42175,37.27275
246,51590000300,-79.3813,36.6164,36.5899,-79.3992,-79.39025,36.60315
247,51590001000,-79.4032,36.5732,36.5535,-79.4315,-79.41735,36.56335
248,51590001302,-79.3496,36.6097,36.5696,-79.3798,-79.3647,36.58965
249,51600300300,-77.2686,38.8663,38.841,-77.3039,-77.28625,38.85365
250,51610500300,-77.1498,38.8865,38.8722,-77.1781,-77.16395,38.87935
251,51630000301,-77.469,38.3097,38.2963,-77.4797,-77.47434999999999,38.303
252,51650010104,-76.3003,37.0595,37.0423,-76.3224,-76.31135,37.0509
253,51650010307,-76.4272,37.0789,37.0426,-76.4512,-76.4392,37.06075
254,51650010701,-76.3472,37.0689,37.0434,-76.368,-76.35759999999999,37.05615
255,51650010703,-76.3218,37.0692,37.0539,-76.3406,-76.3312,37.06155
256,51650010800,-76.3175,37.0591,37.0276,-76.3466,-76.33205,37.043350000000004
257,51650010900,-76.3099,37.0379,37.0192,-76.3272,-76.31855,37.028549999999996
258,51650011300,-76.3131,37.0278,37.0141,-76.3295,-76.32130000000001,37.02095
259,51650990100,-76.282,37.1175,37.108,-76.2929,-76.28745,37.11275
260,51660000205,-78.8372,38.4377,38.4121,-78.875,-78.8561,38.4249
261,51660000401,-78.849,38.4893,38.463,-78.8835,-78.86625000000001,38.476150000000004
262,51670820700,-77.2772,37.2935,37.2737,-77.2994,-77.28829999999999,37.2836
263,51680000203,-79.1769,37.4053,37.394,-79.1938,-79.18535,37.399649999999994
264,51680000600,-79.1429,37.4252,37.4037,-79.1597,-79.15129999999999,37.41445
265,51680001100,-79.1367,37.4124,37.3989,-79.1556,-79.14615,37.405649999999994
266,51680001700,-79.2029,37.3712,37.3468,-79.2572,-79.23005,37.359
267,51683910301,-77.4475,38.7659,38.74,-77.4665,-77.457,38.75295
268,51690000100,-79.8377,36.7153,36.6839,-79.8895,-79.86359999999999,36.699600000000004
269,51700030300,-76.3877,36.998,36.9723,-76.4133,-76.4005,36.98515
270,51700030900,-76.4154,37.0116,36.9972,-76.4362,-76.42580000000001,37.004400000000004
271,51700031300,-76.4147,37.0248,37.0072,-76.4381,-76.4264,37.016
272,51700031701,-76.4896,37.0801,37.0602,-76.5093,-76.49945,37.07015
273,51700032005,-76.5273,37.1144,37.1019,-76.5457,-76.53649999999999,37.10815
274,51700032007,-76.5263,37.1279,37.1102,-76.5486,-76.53745,37.11905
275,51700032124,-76.5151,37.1732,37.1352,-76.5452,-76.53014999999999,37.1542
276,51700032131,-76.5003,37.1732,37.1475,-76.5265,-76.51339999999999,37.16035
277,51700032225,-76.5265,37.1522,37.129,-76.5473,-76.5369,37.1406
278,51710000100,-76.2146,36.9418,36.9294,-76.2318,-76.2232,36.9356
279,51710000700,-76.2437,36.9374,36.9288,-76.2658,-76.25475,36.933099999999996
280,51710001100,-76.3062,36.9332,36.9262,-76.318,-76.3121,36.9297
281,51710001500,-76.2726,36.9162,36.9071,-76.2923,-76.28245,36.91165
282,51710002300,-76.2915,36.9061,36.8893,-76.3049,-76.29820000000001,36.8977
283,51710002600,-76.2906,36.8932,36.8797,-76.3029,-76.29675,36.886449999999996
284,51710003100,-76.2513,36.8918,36.8751,-76.2635,-76.25739999999999,36.88345
285,51710003700,-76.2911,36.8738,36.8636,-76.3017,-76.2964,36.868700000000004
286,51710003800,-76.3004,36.8753,36.8585,-76.3172,-76.30879999999999,36.8669
287,51710004001,-76.2868,36.8636,36.8568,-76.2965,-76.29165,36.8602
288,51710004002,-76.292,36.8664,36.8506,-76.3135,-76.30275,36.8585
289,51710004100,-76.2783,36.8606,36.8533,-76.287,-76.28265,36.85695
290,51710004600,-76.2428,36.8463,36.8369,-76.2644,-76.2536,36.8416
291,51710005100,-76.2438,36.8408,36.8208,-76.2737,-76.25874999999999,36.830799999999996
292,51710005602,-76.2329,36.9244,36.9148,-76.2539,-76.24340000000001,36.9196
293,51710005903,-76.2077,36.8847,36.8705,-76.233,-76.22035,36.8776
294,51710006400,-76.2248,36.8565,36.8369,-76.2455,-76.23515,36.8467
295,51710006603,-76.2011,36.9296,36.9152,-76.2205,-76.2108,36.922399999999996
296,51710006901,-76.1777,36.8718,36.8436,-76.211,-76.19435,36.8577
297,51730810400,-77.4057,37.2269,37.2177,-77.4312,-77.41845,37.222300000000004
298,51735990100,-76.2872,37.1588,37.1143,-76.3785,-76.33285000000001,37.13655
299,51740210500,-76.3303,36.8459,36.8344,-76.3468,-76.33855,36.84015
300,51740211100,-76.3066,36.8378,36.827,-76.3305,-76.31855,36.8324
301,51740211800,-76.3123,36.8313,36.818,-76.3298,-76.32105,36.82465
302,51740212400,-76.3144,36.8159,36.7919,-76.336,-76.3252,36.8039
303,51740212801,-76.3594,36.8196,36.8028,-76.3828,-76.3711,36.8112
304,51740213101,-76.392,36.8761,36.8568,-76.4204,-76.4062,36.86645
305,51760010300,-77.4374,37.6022,37.5847,-77.4492,-77.4433,37.593450000000004
306,51760010401,-77.442,37.5945,37.5841,-77.4642,-77.4531,37.589299999999994
307,51760010800,-77.4131,37.5821,37.5674,-77.4281,-77.42060000000001,37.574749999999995
308,51760020300,-77.3999,37.5477,37.5369,-77.4171,-77.4085,37.5423
309,51760020700,-77.4051,37.5402,37.5327,-77.4182,-77.41165000000001,37.53645
310,51760021200,-77.3937,37.5153,37.5054,-77.4091,-77.4014,37.51035
311,51760040300,-77.4473,37.5518,37.5425,-77.4566,-77.45195,37.54715
312,51760040600,-77.4703,37.5656,37.5583,-77.4777,-77.47399999999999,37.56195
313,51760041000,-77.4609,37.5572,37.5495,-77.4751,-77.46799999999999,37.55335
314,51760041400,-77.4644,37.5482,37.5374,-77.4751,-77.46975,37.5428
315,51760050300,-77.4884,37.568,37.5566,-77.5072,-77.4978,37.5623
316,51760060600,-77.4814,37.5362,37.5149,-77.4972,-77.4893,37.525549999999996
317,51760060700,-77.4164,37.5288,37.4912,-77.4666,-77.44149999999999,37.51
318,51760060800,-77.4176,37.499,37.4466,-77.4486,-77.4331,37.4728
319,51760070300,-77.5289,37.5604,37.528,-77.5549,-77.5419,37.544200000000004
320,51760070802,-77.467,37.4831,37.459,-77.4889,-77.47794999999999,37.471050000000005
321,51770000400,-79.9292,37.3263,37.3021,-79.959,-79.94409999999999,37.3142
322,51770001200,-79.9381,37.2696,37.2527,-79.9589,-79.9485,37.26115
323,51770002600,-79.9073,37.2797,37.2668,-79.9372,-79.92225,37.273250000000004
324,51775010100,-80.0192,37.3243,37.2865,-80.059,-80.03909999999999,37.3054
325,51790000100,-79.0685,38.1563,38.1453,-79.0797,-79.0741,38.150800000000004
326,51800065500,-76.5554,36.7312,36.7106,-76.582,-76.5687,36.7209
327,51800075204,-76.4213,36.8654,36.8169,-76.469,-76.44515,36.84115
328,51800075601,-76.5286,36.7319,36.6596,-76.5987,-76.56365,36.695750000000004
329,51800075803,-76.7359,36.7234,36.6396,-76.8976,-76.81675,36.6815
330,51810040403,-76.1616,36.9073,36.887,-76.181,-76.1713,36.897149999999996
331,51810041002,-76.1367,36.8458,36.8341,-76.1592,-76.14795000000001,36.83995
332,51810041600,-76.1068,36.8843,36.8539,-76.1345,-76.12065000000001,36.8691
333,51810042400,-76.0906,36.8573,36.84,-76.1111,-76.10085,36.848650000000006
334,51810043003,-76.0671,36.9138,36.9014,-76.0916,-76.07935,36.9076
335,51810043600,-75.9823,36.8889,36.876,-76.0041,-75.9932,36.88245
336,51810044401,-76.0397,36.8807,36.852,-76.0721,-76.05590000000001,36.86635
337,51810044808,-76.048,36.8565,36.8368,-76.0636,-76.0558,36.84665
338,51810045405,-76.0859,36.8133,36.7949,-76.1003,-76.09309999999999,36.8041
